ID,Question,Answer
2866,"If dad's get dad jokes, what do mom's do?",The dishes!
13732,Why did the crow go to the gym?,To work on his caw strength.
16243,"Damn, Girl, are you a rollercoaster?",'cause everyone is talking about the ride...
30209,Did you hear about the new show about a camel on a cow ranch?,It's been called a dairy drama about a dromedary.
31810,What do you call a fat cow..?,Your mum
32244,How does a space class start a party?,They planet!
18932,What does a subatomic duck say?,"""Quark!"""
8266,What's the difference between a hipster and a homeless man?,An Instagram account.
20830,How many babies does it take to make light?,"99, 98 get in a pile while 1 grabs a match and lighter fluid."
7527,How do fish get high?,Seaweed
32618,What do you call a Frenchman with eleven penises?,Jean Cocteau
27290,What do you call a Batman that skips church?,Christian Bale
7990,How many Suh Dude's does it take to change a lightbulb?,None it's already lit fam suh
337,Who was the true winner of the 1940 Tour de France?,The 7th German Panzer Division
18247,What's a dish best served cold?,Air condish.
18723,What did the black kid say to his mom when he had diarrhea?,Help! I'm melting!
4677,Why is six afraid of seven?,Because seven is a six offender.
14701,Whats the difference between a lesbian and a wheat-thin?,"Ones a snack cracker, the other is a crack snacker."
851,What kind of bagel can fly?,A plain bagel.
8022,Why do tectonic plates wear diapers?,Because they're in continents.
32869,What was Dodi Fayed's favorite state?,In Diana 
27551,What do you call an Irish woman who stays out all night?,Patty O'Furniture
16870,When is it time for bed at the Neverland Ranch?,When the big hand touches the little hand.
33735,Why did Mr. T reject Marxism?,"Because Marx said ""You have nothing to lose but your chains."""
36197,How do you call a man with a rabbit up his bum?,A bad magician
13671,Why don't you see Santa for the rest of the year?,Because for the rest of the year he's in prison for breaking into people's houses.
23859,"What tastes good on pie, but not on pussy?",Crust.
30592,What do clouds wear under their pants?,Thunderwear!
3306,What did one blind cop say to the other blind cop?,Nothing to see here
32506,What do you call a man who has sex with his 9 year old wife?,The holiest Prophet of Islam.
12283,How do you circumcise a hillbillly?,Kick his sister in the chin.
3907,What’s the difference between ignorance and apathy?,I don’t know and I don’t care.
19008,Why do failing college girls always screw their professors?,Cause they want the D.
26031,What does Sting have in common with a snitch?,They both sang at the police.
29676,Can I use cash to pay for a new electric car?,"No, you have to charge it."
33487,Have you been on /r/bigdickproblems ?,Of course you haven't.
5753,Why cant orphans play baseball?,They cant find their home
14054,What was the gay Swedish guys favorite thing to do?,Give Swedish handjobs. 
7182,Why did Tigger look down the toilet?,To find Pooh!
34613,Why do most men like women with big boobs and tight pussies?,Because most men have big mouths and small cocks.
26213,"What do you call the facility where they make lower quality, but still acceptable, goods?",The satisfactory.
4908,Why is learning English confusing when you're camping?,Because running is past tents.
24478,What does a brick and your mom have in common?,They are both flat-chested and laid by Mexicans. Source: My old middle  school.
10973,Did you hear about the midget fortune-teller who escaped from jail?,There was a small medium at large!
16648,What do you call a programming language designed for women?,An object oriented programming language.
26490,What do you call a corn cob on a track team?,A maize runner. Credit goes to my girlfriend.
6188,How did Noah get the animals on the ark?,He pokémon!
18257,Whats Wolverine's favorite genre of music?,Metal.
9737,What do you call the worst Dr. who graduated from the worst med school?,Dr.
17096,How can you tell if someone is having a stroke?,There is lotion and used tissues laying around 
36571,Did you hear about the thin guy who went to Alaska for six months?,He came back a husky fucker.
15150,Why does Mexico never do well in the Olympics?,"Anyone who can run, jump or swim is already over the border"
28610,What do you call a racing horse that's never been groomed?,Furlong
37972,Did you hear about the Meat Packing CEO?,He built his empire from the ground up. Ground up meat. 
22385,Why do Americans spell it as 'color' and not 'colour'?,Because fuck u that's why.
25265,Why didn't the oyster give to charity?,He was shellfish.
30231,Can February march?,"No, but April may."
8465,What does the United States and your asshole have in common?,They both have been destroyed by a black man.
15459,How can you spot a blind man in a nudist camp?,Its not hard. 
32628,What kind of cheese did Medusa eat?,Gorgon zola.
36233,What is long and black?,The unemployment line. 
6456,Why did the console games cross the road?,Because console gamers go outside.  (Title should say gamer not games)
3890,What has 4 legs but cant move?,"A child born in Chernobyl, duh."
23667,What did the Giant say after he ate Tonga?,'I want Samoa!'
17173,On a scale of 1 to 100 how immature are you?,69 
22544,What did the bean say to the other bean?,How have you been?
28414,What do you call an online relationship?,E-bae... I'll see myself out
6641,What do you get if you cross a duck with an avocado?,Quackamole
27317,What's ET short for...?,Because he's got little legs. 
15679,Knock knock. - Who is there?,A person that likes to tell anti jokes. 
31673,What do you call a bee in a space rocket?,bracket
23266,Why the big pause................................?,Said the man in the pub to the bear. First heard this joke told by Eddie Izzard.
22737,What is a creationist's favorite button in pokemon?,B to cancel evolution
19422,what is the mods favorite joke?,[deleted]
1982,How do you spell badly?,With a broken magic wand.
4268,What's the difference between a stoat and a weasel?,One is weasily recognised and the other is stoatally different 
6572,What do you call a bad joker?,A PUNnisher. 
17557,Do you know why computer parts are not expensive?,Because they are micro-cheap.
17913,Have you heard Subway's new slogan?,Aged meat between fresh buns.  And I'm burning for that one...
35734,Q: How do you get an elephant in the refrigerator?,"Q: How do you get a giraffe in the refrigerator? Q: The King of the animals holds a big meeting and all of the animals are there except one, who's not there? Q: Three adventurers come to a crocodile invested river that they must cross, how do they get across? A: They swim. All the crocodiles are at the meeting."
4947,You wanna hear a yoke?,What?  You expected more than that? 
14484,Did you hear the one about the woman who couldn't handle a 9 inch dick?,She had a metric pussy.
8129,Why did Thor not invite many people to his brother's wedding?,Because it was Low key
14792,"The first and last thing I saw, is nothing. What am I?",A mentally challenged lumberjack
32831,How do mermaids have babies?,Sea-sections 
3947,WHAT DO WE WANT!?,CLEARED TIMES ON OUR MICROWAVES! WHEN DO WE WANT IT? 0:00!
16404,What do you put in a box to make it lighter?,Courtney Love
33513,What is a prostitutes favorite food?,Anything but blue waffles.
37676,What do you give and take at the same time?,a poop
20403,What is a Mexican bodybuilder's favorite supplement?,Güey protein.
1927,Why do computer programmers confuse Halloween with Christmas?,Because Oct31 = Dec25
4423,Where does the pirate shop for his kid for Christmas?,Toys Arrrrrrrrrrr Us
11800,What do you call it when the bull impales the bullfighter?,A hole in Juan!
22220,"If girls with big boobs work at Hooters, where do people with one leg work?",IHOP.
12964,What's the most embarrassed tree in the forest?,Oak wood.
24125,Why is Africa hot?,Because of dat  Djibouti.
35530,Why did the molecular biologist want to make a porno film of gametes?,Because sex cells.
22748,What did the sadist do to the masochist?,Nothing.
30016,Why do Native Americans make the best strippers?,Their dancing can make it rain.
6906,Why does Black Widow love sitting on Captain America's shield?,Because it's made out of vibranium.
26359,Any one wanna hear a funny joke?,What's the hardest part of a vegetable to eat?
30460,What's the best insult you can say to someone?,"""You are very disagreeable."""
17877,What's Subway Jared's favorite song?,Teenage Dream
18784,What do you call graveyard shenanigans?,Tombfoolery.
17146,What’s Al Qaida’s favorite football team?,The New York Jets.
20598,Do you know how a suicide wank works?,You just shoot yourself in the face!
4109,What do you call two homeless people hitting each other with garbage bags?,A Pillow Fight
14713,Why are you not able to boil water in a tauntaun?,Because they're not real.
22392,Why did the kid drop his ice cream?,Because the bus hit him.
36549,what do you call a fake noodle?,an impasta 
30584,Why wasn't Jesus born in Ireland?,They couldn't find 3 wise men and a virgin. 
38264,What do you call a bug on the moon?,A lunatic! (luna-tick)
4845,Why do Java programmers wear glasses?,Because they can't C#.
6567,Why is six afraid of 7?,Because 7 is a registered 6 offender...
18190,Have you heard the rumor about butter?,Nevermind... I wouldn't want to spread it
11324,What's brown and rhymes with snoop?,....Dr Dre.
33107,Where did Mario and Luigi go to school?,At 'Wass-a-matta U'
19454,Whats the difference between pork and beef?,Once fucking someone and the other one if fucking someone over
115,Why did the chicken give the cat his mashed potatoes?,To get to the other side.
22059,Do you think Lincoln was good at pleasuring the ladies?,"If he was, did they call him the pounding father?"
3299,Why did the black man try to break into jail?,He wanted to be with his family.
22284,What do you call a dinosaur in a car accident?,"A Tyrannosaurus Wrecks. EDIT: Spelled ""Tyrannosaurus"" incorrectly."
35402,What did the dad buffalo say to his son when he dropped him off at school?,Bison
30277,Why can't the average white girl pass Math?,Because she can't even.
9864,Ever have sex with a schizophrenic?,It's fucking crazy.
6313,What are the man with no shoes say when he was forced to walk on broken glass?,Fuck
30624,How many prostitutes does it take to screw in a lightbulb?,"Just one, but she charges me extra for weird stuff"
1003,What do you call the man with a lisp who drowned?,A philosopher. Cuz he's a deep thinker.
37883,How do you make a duck sing?,Put it in the oven till it's Bill Withers.
9931,What hangs at a man's thigh and wants to poke the hole that it's often poked before?,A key.
19646,What did the jews not like about the Holocaust?,The caust
28969,Where is the best place to hide something?,On the second page of Google search results.
4629,What color should I choose?,"Well sir we have three options red, blue, and yellow. Our red colors are inspired by the rose fields of Sweden. ""Got the color orange?"" No, the blue colors were crafted from finest of silk from Japan and represent the waves of the ocean. ""What about brown?"" Our LAST option is Yellow, it shines as if it came from the sun itself. ""Got Indigo?"" Just indigo f*ck yourself."
8959,What do the South and the Sun have in common?,They Both Shall Rise Again!
486,What do a horny guy and a bad driver have in common?,They are both bad at pulling out.
33462,What's the difference between a statesman and a politician?,A statesman is a dead politician. God knows we need more statesman.
10780,Why is Tumblr so unhealthy?,It's full of trans fats.
25547,What does Taylor Swift tell her boyfriend when he gets toilet paper stuck on his arse?,Shake it off
7067,Why did Simba's dad die?,He couldn't Mufasa 
19377,Did you hear about the Crucifixion victims?,They're screwed up.
32515,What do Catholics and Baptists have in common?,Neither acknowledge their fellow church-goers at the liquor store.
30194,Why does the Easter Bunny go around hiding all those eggs?,Because he doesn't want everyone to know that he's been fucking that chicken.
33243,what did the cloud say to the atmosphere?,what the hail was that?!
11445,Why does Pinocchio lie?,Because he's a fucking liar.
37606,how do you confuse a masterbator?,32
32334,Wanna See a perfect Relationship?,You Wanna See A Perfect Relationship? . . . . . . . . . . . . . . Watch A Movie... :P Coz it is possible in movies only.
33117,Where did sally go when the bombs dropped?,Everywhere
20406,Do you know the hardest part about rollerblading?,Telling your dad that you're gay..
12275,What do you call two siblings that take your money?,Fine brothers
30783,What kind of dog can jump higher than a building?,"Any kind, buildings can't jump."
6179,What is orange and sounds like a parrot?,A carrot.  :
1593,Why can't we have a female President?,She won't admit that she's 35
32023,What do cubs fans do after they win the world series?,They turn off their Xbox.
8729,What did Ernie say when his friend tried to convince him he was ice cream?,Are you surebert?
35776,Why should a midget not attempt to slaughter a cow?,The steaks are just too high.
23521,Why do so many new brides get crow's feet as soon as they're married?,"From squinting and saying, ""Suck what?"" "
11554,Pro is the opposite of con right?,Well then what is the opposite of congress?
30332,How long does a dog's bark last?,ly a second.
37505,Why are jack-o-lanterns inbred?,because they pump-kin
24412,What kind of dog can turn on your car?,Yorkies
37334,What has a million legs but can't walk?,Jerry's Kids.
14214,What did the losing army call the Greeks?,A pain in the ass
4524,What's the difference between everybody and bullets?,Everybody misses Harambe.
22970,Did you guys hear the one where the Imam joins the priest and rabbi walking into the bar?,That's because muslims can't drink.
19932,Why did Ellen Pao cross the road?,[deleted]
5767,What is the big hairy thing between Napoleon's legs?,His horse Marengo
1057,hi Why didnt Spock make a record of their voyage?,Because it was deep space . (the joke is how the outer space was very deep)
1902,What do Maroon 5 and Jack Reacher have in common?,They both spend all their money on payphones.
23463,What do you call Bruno Mars?,Michael Jackson the third.
15408,Why did the Kenyans win the marathon?,They heard there was water at the end
4541,What's matter in reverse?,Antimatter.
4732,What do mathematicians call retirement?,Aftermath
35328,Why do melons always have traditional weddings?,They cantaloupe.
1556,What's the only thing pedophiles are good at?,Providing child support.
34041,How does Michael J Fox take his martinis?,Shaken. Not stirred 
27764,Why didn't the motorcycle want to go for a ride?,It was two tired...
25023,What's one thing you never want to hear your wife say while having sex?,"""Honey, I'm home!"""
7613,What is Beethoven's favorite food?,Ba-Na-Na-NAAAAAAAAAAAA
34198,Why did the elk cry at the funeral?,He had lost a deer friend
18119,What kind of blowjob does a screwdriver give?,Flathead
34661,Why do Redditors pay with exact change?,They can't stand a Nickleback!
8306,Did you hear about the Casino that hired a Blacksmith?,"He who smelt it, dealt it."
35488,Why couldn't the two testes be friends?,Because of the vas deferens.
35090,What do you call a baby girl who died of alcohol poisoning?,Give me a blender and we'll call her a bloody mary.
20317,Why did KGB officers always travel in threes?,"One who could read, one who could write, and the third to watch over those two dangerous intellectuals."
28059,You know who's even bigger than Ariana Grande?,Ariana Venti.
24242,What do you get when you drop a baby into a wood chipper?,Well an erection of course.
3409,What did the West African nation say as it sank into the sea?,I'm a Ghana!
